Port Number,Time Since Start,Bandwidth
5011,217.163507ms,68
5011,217.183951ms,68
5011,4.438490757s,113
5011,10.138874358s,115
5011,114.761973ms,68
5011,9.371854866s,115
5011,114.768109ms,68
5011,8.547017636s,115
5011,8.711864061s,113
5011,9.371879903s,115
5011,217.20036ms,68
5011,4.438460731s,113
5011,118.09521ms,68
5011,118.088877ms,68
5011,8.711890555s,113
5011,8.711909614s,113
5011,9.371871646s,115
5011,117.955641ms,68
5011,10.138866654s,115
5011,8.547000518s,115
5011,16.471641767s,115
5011,10.138822595s,115
5011,117.973588ms,68
5011,117.981911ms,68
5011,8.711882176s,113
5011,8.711900012s,113
5011,10.138847418s,115
5011,114.565508ms,68
5011,217.175868ms,68
5011,6.800136051s,115
5011,6.800180318s,115
5011,8.546978285s,115
5011,9.371863845s,115
5011,16.471686071s,115
5011,117.966991ms,68
5011,16.471614512s,115
5011,4.438482397s,113
5011,118.077976ms,68
5011,217.19305ms,68
5011,4.438499593s,113
5011,9.371829954s,115
5011,114.650185ms,68
5011,10.138857646s,115
5011,217.207477ms,68
5011,6.800160896s,115
5011,8.547008996s,115
5011,16.471672812s,115
5011,16.471700404s,115
5011,114.751638ms,68
5011,118.109148ms,68
5011,6.800151659s,115
5011,118.100842ms,68
5011,4.438473558s,113
5011,6.800171224s,115
5011,8.546991941s,115
5011,114.662071ms,68
