Port Number,Time Since Start,Bandwidth
5006,4.405850723s,68
5006,4.406570379s,68
5006,4.406576086s,68
5006,4.406957746s,68
5006,4.406327097s,68
5006,4.406337429s,68
5006,4.406355688s,68
5006,4.406525082s,68
5006,4.405862024s,68
5006,4.406023251s,68
5006,4.406231584s,68
5006,4.406926825s,68
5006,4.405918482s,68
5006,4.406237312s,68
5006,4.406932835s,68
5006,4.406938754s,68
5006,4.406697149s,68
5006,4.406969146s,68
5006,4.40701789s,68
5006,4.40619601s,68
5006,4.406702664s,68
5006,4.406713963s,68
5006,4.397693127s,68
5006,4.4060624s,68
5006,4.4069506s,68
5006,4.407011669s,68
5006,4.406436208s,68
5006,4.406900374s,68
5006,4.40604142s,68
5006,4.405991341s,68
5006,4.406675346s,68
5006,4.406564561s,68
5006,4.406592562s,68
5006,4.406665854s,68
5006,4.406363672s,68
5006,4.40658211s,68
5006,4.40617868s,68
5006,4.406212652s,68
5006,4.406725448s,68
5006,4.406920649s,68
5006,4.406201611s,68
5006,4.406744073s,68
5006,4.406987494s,68
5006,4.40600896s,68
5006,4.40638356s,68
5006,4.406536952s,68
5006,4.405855856s,68
5006,4.40673606s,68
5006,4.406558943s,68
5006,4.40674988s,68
5006,4.405888691s,68
5006,4.406945007s,68
5006,4.406242898s,68
5006,4.406542568s,68
5006,4.406029757s,68
5006,4.405904251s,68
5006,4.406963655s,68
5006,4.406316777s,68
5006,4.406708013s,68
5006,4.397602531s,68
5006,4.406206144s,68
5006,4.406428632s,68
5006,4.406586986s,68
5006,4.397681648s,68
5006,4.406982713s,68
5006,4.405873418s,68
5006,4.40669145s,68
5006,4.406552954s,68
5006,4.397761261s,68
5006,4.406035564s,68
5006,4.406913671s,68
5006,4.406999408s,68
5006,4.406002538s,68
5006,4.406137187s,68
5006,4.40616596s,68
5006,4.406514004s,68
5006,4.406719825s,68
5006,4.397777473s,68
5006,4.405837725s,68
5006,4.406531471s,68
5006,4.406731229s,68
5006,4.406680692s,68
5006,4.406218817s,68
5006,4.406343691s,68
5006,4.406349438s,68
5006,4.406975088s,68
5006,4.405911903s,68
5006,4.406047297s,68
5006,4.406055959s,68
5006,4.407005953s,68
5006,4.406598653s,68
5006,4.405895306s,68
5006,4.406225262s,68
5006,4.40668526s,68
5006,4.40641673s,68
5006,4.406755548s,68
5006,4.406013666s,68
5006,4.406018497s,68
5006,4.406332358s,68
5006,4.406388463s,68
5006,4.406442661s,68
5006,4.397771506s,68
5006,4.40586692s,68
5006,4.406172728s,68
5006,4.406548046s,68
