Port Number,Time Since Start,Bandwidth
5004,43.563675ms,68
5004,13.517924ms,68
5004,20.506521ms,68
5004,28.836505ms,68
5004,36.621813ms,68
5004,36.641804ms,68
5004,43.530967ms,68
5004,48.579845ms,68
5004,4.80375597s,80
5004,13.620806ms,68
5004,28.801691ms,68
5004,36.597924ms,68
5004,43.547695ms,68
5004,29.168374557s,115
5004,29.16837374s,115
5004,43.569225ms,68
5004,48.629539ms,68
5004,48.635878ms,68
5004,28.783358ms,68
5004,28.843396ms,68
5004,43.490215ms,68
5004,4.80375943s,80
5004,13.615843ms,68
5004,13.627977ms,68
5004,13.639764ms,68
5004,4.803764179s,80
5004,29.168367587s,115
5004,29.168375148s,115
5004,28.791211ms,68
5004,36.636702ms,68
5004,43.483628ms,68
5004,20.570869ms,68
5004,29.168357379s,115
5004,36.631942ms,68
5004,4.803696331s,80
5004,20.517739ms,68
5004,28.796167ms,68
5004,36.541845ms,68
5004,43.520366ms,68
5004,4.803695288s,80
5004,43.553433ms,68
5004,11.76083ms,68
5004,13.493471ms,68
5004,13.645926ms,68
5004,29.168370393s,115
5004,36.626978ms,68
5004,48.714786ms,68
5004,29.168363707s,115
5004,36.531889ms,68
5004,48.590983ms,68
5004,11.953211ms,68
5004,11.965159ms,68
5004,20.523669ms,68
5004,36.551937ms,68
5004,43.513735ms,68
5004,4.803762752s,80
5004,13.512101ms,68
5004,20.629064ms,68
5004,20.634703ms,68
5004,29.168359733s,115
5004,28.832079ms,68
5004,48.702515ms,68
5004,4.803764986s,80
5004,48.624136ms,68
5004,4.80374873s,80
5004,29.168366787s,115
5004,13.505694ms,68
5004,20.55486ms,68
5004,48.604796ms,68
5004,43.497767ms,68
5004,48.73625ms,68
5004,29.168372143s,115
5004,48.655282ms,68
5004,13.633987ms,68
5004,28.849783ms,68
5004,36.559238ms,68
5004,36.591998ms,68
5004,48.597636ms,68
5004,29.16836074s,115
5004,13.523823ms,68
5004,43.502939ms,68
5004,48.724332ms,68
5004,4.803757843s,80
5004,29.168362855s,115
5004,13.602686ms,68
5004,43.525755ms,68
5004,48.641546ms,68
5004,4.803698091s,80
5004,4.803753502s,80
5004,4.803763432s,80
5004,29.168369112s,115
5004,13.473817ms,68
5004,13.654735ms,68
5004,48.648504ms,68
5004,43.508178ms,68
5004,29.1683618s,115
5004,29.168368392s,115
5004,4.803761672s,80
5004,29.16837132s,115
5004,20.613603ms,68
5004,28.860927ms,68
5004,4.803750834s,80
5004,28.825596ms,68
5004,48.690761ms,68
5004,29.168373093s,115
5004,13.500451ms,68
5004,13.610922ms,68
5004,20.562664ms,68
5004,28.820163ms,68
5004,43.474359ms,68
5004,4.803751958s,80
5004,29.168364519s,115
5004,11.859776ms,68
5004,11.971275ms,68
5004,20.532203ms,68
5004,48.612744ms,68
5004,48.618624ms,68
5004,4.8037547s,80
5004,29.16836574s,115
5004,28.855329ms,68
5004,43.558607ms,68
5004,43.575437ms,68
5004,20.590196ms,68
5004,36.606064ms,68
5004,48.70893ms,68
5004,4.803692918s,80
5004,11.847687ms,68
5004,13.486812ms,68
5004,4.803697262s,80
5004,48.730306ms,68
5004,28.813691ms,68
5004,36.565943ms,68
5004,48.696998ms,68
5004,43.536424ms,68
5004,4.803760592s,80
5004,20.604987ms,68
5004,36.584624ms,68
5004,36.614005ms,68
