Port Number,Time Since Start,Bandwidth
5003,50.663412ms,68
5003,58.762374ms,68
5003,58.792296ms,68
5003,13.792253ms,68
5003,20.164582ms,68
5003,35.902293ms,68
5003,35.923642ms,68
5003,43.709301ms,68
5003,58.744672ms,68
5003,35.979964ms,68
5003,50.598307ms,68
5003,50.69002ms,68
5003,12.674349ms,68
5003,12.686622ms,68
5003,20.210534ms,68
5003,29.291356ms,68
5003,35.93793ms,68
5003,50.705859ms,68
5003,58.808467ms,68
5003,20.157862ms,68
5003,29.269745ms,68
5003,35.932063ms,68
5003,50.695807ms,68
5003,58.830752ms,68
5003,12.692798ms,68
5003,20.17994ms,68
5003,35.968553ms,68
5003,35.995272ms,68
5003,43.70361ms,68
5003,43.79494ms,68
5003,29.242281ms,68
5003,43.765337ms,68
5003,50.611205ms,68
5003,58.825398ms,68
5003,58.837418ms,68
5003,50.630309ms,68
5003,58.775238ms,68
5003,29.231214ms,68
5003,35.943868ms,68
5003,43.740029ms,68
5003,43.784186ms,68
5003,50.605601ms,68
5003,36.027362ms,68
5003,43.750002ms,68
5003,58.849253ms,68
5003,20.12279ms,68
5003,20.152896ms,68
5003,20.200317ms,68
5003,29.28607ms,68
5003,35.910701ms,68
5003,50.710751ms,68
5003,58.733717ms,68
5003,58.785533ms,68
5003,29.258072ms,68
5003,43.690467ms,68
5003,43.772016ms,68
5003,43.80111ms,68
5003,50.653322ms,68
5003,58.842996ms,68
5003,29.2643ms,68
5003,43.679102ms,68
5003,58.813178ms,68
5003,43.696915ms,68
5003,58.750638ms,68
5003,13.774283ms,68
5003,13.799743ms,68
5003,13.812787ms,68
5003,20.217001ms,68
5003,29.280248ms,68
5003,50.617848ms,68
5003,50.700892ms,68
5003,50.716659ms,68
5003,12.581816ms,68
5003,13.786393ms,68
5003,29.23675ms,68
5003,29.274587ms,68
5003,35.962462ms,68
5003,58.756254ms,68
5003,58.769428ms,68
5003,58.803841ms,68
5003,12.467224ms,68
5003,20.145917ms,68
5003,43.777794ms,68
5003,43.790222ms,68
5003,43.731903ms,68
5003,50.589709ms,68
5003,50.668852ms,68
5003,12.569584ms,68
5003,20.137703ms,68
5003,29.221201ms,68
5003,36.008896ms,68
5003,36.022095ms,68
5003,50.684198ms,68
5003,58.780769ms,68
5003,58.798212ms,68
5003,13.806927ms,68
5003,13.818714ms,68
5003,35.890442ms,68
5003,43.75735ms,68
5003,50.623798ms,68
