Port Number,Time Since Start,Bandwidth
5008,13.297803ms,68
5008,13.614386ms,68
5008,14.031724ms,68
5008,14.054374ms,68
5008,13.392122ms,68
5008,13.777932ms,68
5008,16.422761ms,68
5008,38.534195646s,81
5008,38.534196536s,81
5008,13.151806ms,68
5008,13.191647ms,68
5008,13.199434ms,68
5008,13.382003ms,68
5008,13.843671ms,68
5008,13.039451ms,68
5008,13.516746ms,68
5008,14.009428ms,68
5008,14.071249ms,68
5008,14.082803ms,68
5008,38.534186436s,81
5008,12.956061ms,68
5008,12.993044ms,68
5008,13.973541ms,68
5008,16.327955ms,68
5008,13.498227ms,68
5008,13.533571ms,68
5008,13.766283ms,68
5008,16.406181ms,68
5008,13.012522ms,68
5008,13.855804ms,68
5008,14.003625ms,68
5008,38.534191757s,81
5008,12.950301ms,68
5008,13.02028ms,68
5008,13.376183ms,68
5008,13.625333ms,68
5008,13.817723ms,68
5008,14.060708ms,68
5008,16.314409ms,68
5008,16.373017ms,68
5008,13.139043ms,68
5008,13.145989ms,68
5008,13.3876ms,68
5008,13.575834ms,68
5008,38.534190766s,81
5008,13.509528ms,68
5008,16.434436ms,68
5008,38.534192565s,81
5008,12.98642ms,68
5008,13.581395ms,68
5008,16.386352ms,68
5008,13.163834ms,68
5008,13.331883ms,68
5008,16.307629ms,68
5008,13.205466ms,68
5008,13.608066ms,68
5008,13.838184ms,68
5008,38.534188705s,81
5008,13.539271ms,68
5008,38.534202568s,81
5008,13.033126ms,68
5008,13.420615ms,68
5008,13.849884ms,68
5008,16.380403ms,68
5008,38.534197521s,81
5008,9.391065ms,68
5008,13.568973ms,68
5008,13.997234ms,68
5008,14.025711ms,68
5008,38.534200315s,81
5008,13.211654ms,68
5008,13.6206ms,68
5008,13.740748ms,68
5008,13.755851ms,68
5008,13.98485ms,68
5008,38.534203066s,81
5008,9.379393ms,68
5008,13.000242ms,68
5008,14.03585ms,68
5008,16.439889ms,68
5008,38.534193226s,81
5008,13.308932ms,68
5008,13.358741ms,68
5008,12.937463ms,68
5008,13.127434ms,68
5008,13.992581ms,68
5008,14.065336ms,68
5008,13.320088ms,68
5008,13.527587ms,68
5008,13.860652ms,68
5008,16.320889ms,68
5008,38.534194149s,81
5008,13.363711ms,68
5008,13.370103ms,68
5008,14.099269ms,68
5008,38.534198905s,81
5008,13.326252ms,68
5008,13.337669ms,68
5008,13.866503ms,68
5008,14.076974ms,68
5008,38.534201122s,81
5008,9.45888ms,68
5008,13.872196ms,68
5008,16.401163ms,68
5008,38.534189564s,81
5008,38.53419968s,81
5008,16.445858ms,68
5008,13.169865ms,68
5008,13.602693ms,68
5008,14.015046ms,68
5008,14.019382ms,68
5008,16.340993ms,68
5008,16.294897ms,68
5008,13.026804ms,68
5008,13.118963ms,68
5008,13.315281ms,68
5008,13.522403ms,68
5008,13.748796ms,68
5008,13.631311ms,68
5008,13.824656ms,68
5008,16.347534ms,68
5008,16.427676ms,68
5008,38.534201748s,81
5008,9.293413ms,68
5008,13.760463ms,68
5008,13.772164ms,68
5008,16.334541ms,68
5008,16.415596ms,68
5008,13.00768ms,68
5008,13.174422ms,68
5008,13.877951ms,68
5008,38.534194934s,81
5008,9.468968ms,68
5008,9.475092ms,68
5008,13.157559ms,68
5008,16.394739ms,68
