Port Number,Time Since Start,Bandwidth
5001,1.287962278s,116
5001,46.236769ms,70
5001,80.638223ms,70
5001,134.154505ms,70
5001,147.986806ms,70
5001,1.287938497s,80
5001,8.462992ms,70
5001,140.436834ms,70
5001,1.287942288s,80
5001,11.189731ms,70
5001,1.287941588s,80
5001,21.652533ms,70
5001,140.425464ms,70
5001,140.477786ms,70
5001,148.030369ms,70
5001,1.287936933s,80
5001,26.558952ms,70
5001,80.64687ms,70
5001,140.455959ms,70
5001,147.994649ms,70
5001,1.287935717s,80
5001,1.287980224s,116
5001,26.598373ms,70
5001,46.210858ms,70
5001,140.462866ms,70
5001,148.008164ms,70
5001,1.287939715s,80
5001,1.287979667s,116
5001,140.44814ms,70
5001,21.678924ms,70
5001,26.627148ms,70
5001,134.140845ms,70
5001,134.162062ms,70
5001,21.598451ms,70
5001,140.411864ms,70
5001,1.287940774s,80
5001,1.287979008s,116
5001,46.222788ms,70
5001,134.147477ms,70
5001,134.176818ms,70
5001,147.972702ms,70
5001,148.014766ms,70
5001,1.287963403s,116
5001,80.614001ms,70
5001,140.470123ms,70
5001,147.962408ms,70
5001,1.28796127s,116
5001,46.229965ms,70
5001,46.291485ms,70
5001,134.072294ms,70
5001,148.001436ms,70
5001,11.177323ms,70
5001,147.980013ms,70
5001,1.287932354s,80
5001,1.287959631s,116
5001,1.287978165s,116
5001,26.606657ms,70
5001,80.621707ms,70
5001,80.630319ms,70
5001,134.133657ms,70
5001,80.601904ms,70
