Port Number,Transaction ID,Latency
5006,0a8a5a637821b8160658a766b51e8d98,0.001616
5006,87b29c1fb0e176b38cdf1b4741fa27ab,0.001902
5006,18a840c16ad3d300933abd9264203c97,0.001610
5006,1024474aac520b0802cb3940c110b08f,0.001785
5006,a74e31ece644e633c6b7db5e2925d219,0.001673
5006,9e1c27585c16abbb8aefef8642a8fb27,0.003068
5006,5c29aac08ffdc611acb7ae56fa3878cf,0.002982
5006,563360257d4417b8411ce7a14df09761,0.002784
5006,4efc0357ba30469c9d0d01716eea05aa,0.002511
5006,d3e75f7438888770c1cc23471dbdd7aa,0.001795
5006,e7ca98448ce7fe3431ea7e48d6951d57,0.001638
5006,c54d19b083953b708b0809da8b96361f,0.001717
5006,acf3055f263e78673a9558e08974f019,0.001891
5006,928f13a425f2299a118d6abdbee6c060,0.001829
5006,71d186122d5ca226cc04e660f9f581a2,0.001734
5006,536d3dc6e8b78ba17e1a38ba4fb9106c,0.001894
5006,35279f6e935044ee1c2ac00a9cc7fd1c,0.001783
5006,ca341a43dc178dd3d2ff12a6340cc44b,0.001923
5006,eae6e04531a4d1e1a14e3ccc0e2d158b,0.002166
5006,62a0c6cf340ee8bc6e18e3e282dc89eb,0.003564
5006,ab8f1ef41926acec226047cd72ec685a,0.001945
5006,a467be5917b14eb6e712c0a6f9530706,0.001873
5006,eec1b3c736061f5d7239fab3a48ea049,0.001533
5006,25f4623b7daafbf4813dae05b6fa9a4e,0.001507
5006,97b57a460c8b4d155230a147248560c0,0.006161
5006,25aca55a94279d4eecff8f18e20b14fb,0.012772
5006,ca0a1036e3f238c9726cf7782567759b,0.006998
5006,55664f44a8b2e16fd0695cdadd889ded,0.005788
5006,2981a423ae02c541c11d9eb28afa587e,0.002141
5006,2e7d7fd09fc2de9f7f4dd607afa8ad0e,0.007360
5006,f24e01e14df56b36ef83b839a4075f7c,0.002822
5006,31cba9e915a82d7f470a438636258046,0.001687
5006,7e2185a91056d5bbd8750b530d680071,0.001645
5006,b2085035a0da8abe47ceb78e113fd7d9,0.001938
5006,0de2a0ab49f83bbec7bc36183f9fa93a,0.002137
5006,13e600e754731f892eaa15e6ecad55b9,0.003093
5006,fc13c725dc6529e5622ed42ce8a69b17,0.004712
5006,63a743363ca22ccb6679189a39e00e39,0.003955
5006,9f0443f58dbc3cf7f59e22672ecf47e1,0.005998
5006,dfbfd5a6be04a67b61c440a2c8d2c150,0.006181
5006,34e7fcaf71e870a73a8f4c8fa655cf2c,0.018298
5006,c9dc6b5459dd841bdbba47c4e9ef1418,0.021621
5006,6479c945233ea72713ce1c6c5a4b88af,0.001345
5006,f97da28aa938da68e2881a8bcbe1a478,0.840322
5006,9e4230eb41c745b349661d57a892e925,0.648042
5006,b62e1860d4edb5c2e5b6c77bc0b5eebc,1.002833
5006,a2037bfcfde85de29fe5690571d908a7,0.404036
5006,309ae8f52256cca7b91d7fa8182aa64a,0.169724
5006,bf83fd853f93794989a64d77d4168de0,0.947407
5006,0f1d1c0c91eb941ae54e413a487c82a6,0.833405
