Port Number,Time Since Start,Bandwidth
5005,3.549243478s,68
5005,3.557823727s,68
5005,3.558436628s,68
5005,3.558454867s,68
5005,3.564687474s,68
5005,3.557706653s,68
5005,3.558171913s,68
5005,3.55837876s,68
5005,10.690931455s,80
5005,10.690956461s,80
5005,3.557801216s,68
5005,3.558142116s,68
5005,3.558195142s,68
5005,3.558423293s,68
5005,10.690952001s,80
5005,10.690962425s,80
5005,3.557999315s,68
5005,3.558459063s,68
5005,3.558656468s,68
5005,3.564665022s,68
5005,10.690961144s,80
5005,3.55767025s,68
5005,3.558005494s,68
5005,3.558011213s,68
5005,3.558127966s,68
5005,3.558599089s,68
5005,3.564628984s,68
5005,3.564669884s,68
5005,10.690954529s,80
5005,10.690959576s,80
5005,3.558154641s,68
5005,3.558429781s,68
5005,3.549306304s,68
5005,3.557699893s,68
5005,3.55860472s,68
5005,3.558644993s,68
5005,10.690927326s,80
5005,10.690953786s,80
5005,3.557683624s,68
5005,3.557691078s,68
5005,3.557718997s,68
5005,3.558664003s,68
5005,3.558370959s,68
5005,3.558609068s,68
5005,3.549324064s,68
5005,3.557978361s,68
5005,3.558356903s,68
5005,3.564703377s,68
5005,10.690936317s,80
5005,3.557961343s,68
5005,3.558572515s,68
5005,3.564613536s,68
5005,3.564713048s,68
5005,3.557993521s,68
5005,3.558616248s,68
5005,3.558633743s,68
5005,3.558183464s,68
5005,3.558441395s,68
5005,10.690932239s,80
5005,3.557987813s,68
5005,3.557712576s,68
5005,3.557817552s,68
5005,3.564654294s,68
5005,3.557840351s,68
5005,3.557970858s,68
5005,3.558408684s,68
5005,10.690937141s,80
5005,3.557723675s,68
5005,3.564681008s,68
5005,3.564693004s,68
5005,3.557731113s,68
5005,3.557829667s,68
5005,3.558016914s,68
5005,3.558177886s,68
5005,3.558022812s,68
5005,3.558587875s,68
5005,3.558449138s,68
5005,3.558582904s,68
5005,3.56469718s,68
5005,3.557888845s,68
5005,3.5646587s,68
5005,3.557835476s,68
5005,3.557882905s,68
5005,3.558416358s,68
5005,3.564600952s,68
5005,10.690948135s,80
5005,10.690958444s,80
5005,3.557875663s,68
5005,3.558028401s,68
5005,3.558137154s,68
5005,3.558165662s,68
5005,3.558345536s,68
5005,3.564635536s,68
5005,3.564674579s,68
5005,3.558160073s,68
5005,3.558384482s,68
5005,3.564708222s,68
5005,3.549149247s,68
5005,3.558639444s,68
5005,10.690933859s,80
5005,3.549232945s,68
5005,3.549330185s,68
5005,3.557810957s,68
5005,3.558627875s,68
5005,3.558622348s,68
5005,3.564622123s,68
5005,3.55814872s,68
5005,3.564641544s,68
5005,10.69093027s,80
5005,10.690935546s,80
5005,3.558189346s,68
5005,3.558592697s,68
5005,3.564648452s,68
5005,10.690934705s,80
5005,10.6909501s,80
