Port Number,Time Since Start,Bandwidth
5003,39.704728152s,116
5003,455.795183ms,68
5003,25.331694638s,114
5003,39.704673938s,116
5003,12.93872675s,115
5003,25.914682802s,115
5003,25.914734351s,115
5003,39.704716195s,116
5003,582.858438ms,68
5003,582.868101ms,68
5003,1.16843937s,113
5003,1.168450217s,113
5003,12.938715799s,115
5003,13.246645407s,114
5003,18.146722713s,115
5003,339.755747ms,68
5003,582.828021ms,68
5003,25.331653884s,114
5003,25.331706567s,114
5003,455.767202ms,68
5003,13.246674931s,114
5003,18.146735023s,115
5003,18.146667539s,115
5003,1.168399249s,113
5003,25.914723548s,115
5003,12.938676707s,115
5003,13.246691066s,114
