Port Number,Time Since Start,Bandwidth
5008,495.115153ms,68
5008,5.087877566s,115
5008,34.714840984s,115
5008,129.951972ms,68
5008,382.97941ms,68
5008,383.101584ms,68
5008,495.011106ms,68
5008,5.087887992s,115
5008,32.779878162s,115
5008,34.71486966s,115
5008,383.114856ms,68
5008,1.805954694s,115
5008,5.087847845s,115
5008,21.027664089s,116
5008,382.999348ms,68
5008,382.989639ms,68
5008,383.121676ms,68
5008,495.104629ms,68
5008,495.133827ms,68
5008,12.937123893s,115
5008,495.1512ms,68
5008,1.806039019s,115
5008,34.714860305s,115
5008,495.019398ms,68
5008,495.026785ms,68
5008,1.806028678s,115
5008,32.779924253s,115
5008,494.992367ms,68
5008,495.121424ms,68
5008,12.937157783s,115
5008,383.128662ms,68
5008,495.001858ms,68
5008,495.140425ms,68
5008,5.087859196s,115
5008,5.087867973s,115
5008,21.027642517s,116
5008,382.964703ms,68
5008,12.937188283s,115
5008,383.138161ms,68
5008,1.806048277s,115
5008,21.027631517s,116
5008,129.742048ms,68
5008,12.937178756s,115
5008,21.02768494s,116
5008,34.714804241s,115
5008,34.71483086s,115
5008,34.714851425s,115
5008,129.85675ms,68
5008,129.963186ms,68
5008,129.969965ms,68
5008,495.12762ms,68
5008,21.027674873s,116
5008,32.779911738s,115
5008,129.843066ms,68
5008,1.80597464s,115
5008,1.806058335s,115
5008,5.087828696s,115
5008,12.937147385s,115
5008,21.027600201s,116
5008,32.779898481s,115
5008,494.978138ms,68
5008,12.937168449s,115
5008,32.779808194s,115
5008,32.779854429s,115
