Port Number,Time Since Start,Bandwidth
5000,85.331346ms,70
5000,13.090836ms,70
5000,13.097166ms,70
5000,83.540867ms,70
5000,20.272175ms,70
5000,26.1337ms,70
5000,26.427272ms,70
5000,83.528876ms,70
5000,84.633655ms,70
5000,84.654856ms,70
5000,84.661789ms,70
5000,26.333401ms,70
5000,26.416368ms,70
5000,26.461785ms,70
5000,26.086013ms,70
5000,83.471917ms,70
5000,83.521876ms,70
5000,85.340536ms,70
5000,20.129929ms,70
5000,26.309284ms,70
5000,85.295152ms,70
5000,85.187589ms,70
5000,85.198726ms,70
5000,85.349963ms,70
5000,20.104851ms,70
5000,83.534965ms,70
5000,84.601327ms,70
5000,84.675209ms,70
5000,13.076094ms,70
5000,83.490073ms,70
5000,83.553582ms,70
5000,26.10137ms,70
5000,83.498535ms,70
5000,20.298252ms,70
5000,20.322905ms,70
5000,26.078159ms,70
5000,85.271174ms,70
5000,26.108243ms,70
5000,26.32382ms,70
5000,84.567545ms,70
5000,83.514552ms,70
5000,84.668455ms,70
5000,85.229369ms,70
5000,20.122699ms,70
5000,20.282849ms,70
5000,26.343904ms,70
5000,85.28802ms,70
5000,83.506879ms,70
5000,83.5476ms,70
5000,85.213486ms,70
5000,85.278769ms,70
5000,20.312407ms,70
5000,26.125982ms,70
5000,84.620725ms,70
5000,84.584445ms,70
5000,84.688311ms,70
5000,85.241429ms,70
5000,26.404072ms,70
5000,83.559995ms,70
5000,84.608193ms,70
5000,84.614893ms,70
5000,84.63955ms,70
5000,20.137048ms,70
5000,20.305097ms,70
5000,26.38128ms,70
5000,85.301456ms,70
5000,84.627513ms,70
5000,85.25438ms,70
5000,85.260663ms,70
5000,26.473138ms,70
5000,84.681851ms,70
5000,85.235605ms,70
5000,26.057817ms,70
5000,26.093845ms,70
5000,26.117024ms,70
