Port Number,Time Since Start,Bandwidth
5002,3.031003219s,80
5002,2.894550714s,68
5002,2.903454073s,68
5002,3.030996568s,80
5002,3.031001248s,80
5002,3.031036144s,115
5002,2.894539619s,68
5002,2.902998222s,68
5002,2.903134182s,68
5002,3.031020279s,80
5002,2.90387328s,68
5002,2.903878956s,68
5002,2.903884963s,68
5002,3.031037251s,115
5002,2.903038976s,68
5002,2.903212406s,68
5002,2.913098104s,68
5002,3.031038792s,115
5002,3.031018664s,80
5002,3.031035566s,115
5002,2.903111745s,68
5002,2.903142787s,68
5002,2.913047648s,68
5002,3.031005055s,80
5002,2.913074667s,68
5002,3.031039674s,115
5002,2.903029761s,68
5002,2.903233347s,68
5002,2.903346234s,68
5002,2.913067844s,68
5002,2.903122394s,68
5002,2.903227446s,68
5002,2.903313934s,68
5002,2.9033553s,68
5002,2.903420345s,68
5002,2.903437376s,68
5002,3.031039256s,115
5002,3.031005947s,80
5002,2.903021656s,68
5002,2.903238833s,68
5002,2.903448633s,68
5002,2.913105035s,68
5002,2.903335352s,68
5002,2.903897669s,68
5002,3.031037812s,115
5002,3.031038255s,115
5002,2.894465419s,68
5002,2.903431561s,68
5002,2.903903428s,68
5002,3.031036719s,115
5002,2.895356937s,68
5002,2.903329837s,68
5002,2.903465803s,68
5002,2.913060678s,68
5002,2.913083193s,68
5002,3.031017559s,80
5002,2.913116453s,68
5002,2.903244565s,68
5002,2.903459767s,68
5002,2.903867495s,68
5002,2.903909101s,68
5002,2.903856761s,68
5002,2.903890981s,68
5002,2.913124831s,68
5002,2.895339677s,68
5002,2.895350797s,68
5002,2.903128254s,68
5002,2.903324116s,68
5002,3.031004047s,80
5002,2.903221894s,68
5002,2.903340858s,68
5002,2.903443043s,68
5002,2.913090288s,68
