Port Number,Time Since Start,Bandwidth
5000,2.914319051s,68
5000,2.923796763s,68
5000,2.92794985s,68
5000,8.630176863s,81
5000,13.00510023s,114
5000,2.914089578s,68
5000,2.914303089s,68
5000,2.914472582s,68
5000,2.923773048s,68
5000,2.927942163s,68
5000,8.630155543s,81
5000,13.005103654s,114
5000,8.630193783s,116
5000,2.913892875s,68
5000,2.914008009s,68
5000,2.914337211s,68
5000,2.923766468s,68
5000,8.630138268s,81
5000,8.63017522s,81
5000,8.630177727s,81
5000,8.630194372s,116
5000,8.6301973s,116
5000,13.005076314s,79
5000,2.914221174s,68
5000,2.914312849s,68
5000,2.914845002s,68
5000,2.923750884s,68
5000,2.92797706s,68
5000,13.005099605s,114
5000,2.913801875s,68
5000,2.914001101s,68
5000,2.914430735s,68
5000,2.914870353s,68
5000,2.9143247s,68
5000,2.914444294s,68
5000,2.914450574s,68
5000,2.914838149s,68
5000,2.914858792s,68
5000,13.005079815s,79
5000,2.914418058s,68
5000,8.63017604s,81
5000,13.005102087s,114
5000,2.914235486s,68
5000,2.914408102s,68
5000,2.923736544s,68
5000,8.630195914s,116
5000,13.005078664s,79
5000,13.00509909s,114
5000,13.005101376s,114
5000,13.005102576s,114
5000,2.927968701s,68
5000,2.9138821s,68
5000,2.914127669s,68
5000,2.914226679s,68
5000,2.914331378s,68
5000,2.923759704s,68
5000,13.005100871s,114
5000,2.914823921s,68
5000,2.927928545s,68
5000,2.927935535s,68
5000,8.630196783s,116
5000,13.005080639s,79
5000,13.005081478s,79
5000,13.00508374s,79
5000,2.914100993s,68
5000,8.630167759s,81
5000,8.630192779s,116
5000,2.913988368s,68
5000,2.914215247s,68
5000,2.914438116s,68
5000,8.630195364s,116
5000,13.005083028s,79
5000,13.005098534s,114
5000,2.914107525s,68
5000,2.914851337s,68
5000,2.914864594s,68
5000,2.923780829s,68
5000,2.927921345s,68
5000,2.914205266s,68
5000,2.914876121s,68
5000,2.927902997s,68
5000,8.63017318s,81
5000,8.630198002s,116
5000,13.005072477s,79
5000,13.005082279s,79
5000,2.923788231s,68
5000,2.923804291s,68
5000,2.927890272s,68
5000,2.927956945s,68
5000,8.6301741s,81
5000,8.630193365s,116
