Port Number,Time Since Start,Bandwidth
5010,1.724503279s,115
5010,1.922461192s,115
5010,1.922485656s,115
5010,4.158509162s,115
5010,145.24932ms,68
5010,1.350474774s,114
5010,1.009499978s,115
5010,3.563501332s,115
5010,5.444496867s,115
5010,1.922495576s,115
5010,3.255462307s,115
5010,1.350511049s,114
5010,3.255492512s,115
5010,3.255502071s,115
5010,144.507804ms,68
5010,1.009526128s,115
5010,3.563490133s,115
5010,4.158465735s,115
5010,5.444462267s,115
5010,145.256292ms,68
5010,1.284482202s,114
5010,1.350524908s,114
5010,3.56346s,115
5010,144.520029ms,68
5010,1.284516803s,114
5010,1.284506614s,114
5010,1.72449297s,115
5010,1.900464868s,115
5010,1.900492683s,115
5010,1.900502152s,115
5010,144.409523ms,68
5010,145.235976ms,68
5010,4.158498828s,115
5010,5.444507665s,115
5010,1.009538627s,115
5010,1.724460871s,115
