Port Number,Time Since Start,Bandwidth
5006,650.350562ms,68
5006,1.259282429s,115
5006,3.230360938s,115
5006,4.430275504s,114
5006,5.045270263s,114
5006,6.013250034s,115
5006,1.259244702s,115
5006,1.259272065s,115
5006,2.590244244s,115
5006,4.430315413s,114
5006,772.306944ms,68
5006,3.231064829s,115
5006,2.590282915s,115
5006,4.430326706s,114
5006,5.045320709s,114
5006,519.224614ms,68
5006,650.388682ms,68
5006,772.269695ms,68
5006,1.864321525s,114
5006,1.138350132s,114
5006,1.864284663s,114
5006,1.138316674s,114
5006,1.138362592s,114
5006,1.864337863s,114
5006,3.231077917s,115
5006,5.045310093s,114
5006,6.013291747s,115
5006,772.316465ms,68
5006,2.590294074s,115
5006,6.013302901s,115
