Port Number,Time Since Start,Bandwidth
5008,5.079569722s,115
5008,278.230321ms,68
5008,278.24043ms,68
5008,1.623847066s,115
5008,3.693581547s,115
5008,3.275569796s,115
5008,5.079525799s,115
5008,1.997716357s,113
5008,1.997736698s,113
5008,1.997756916s,113
5008,3.088572972s,115
5008,3.693535538s,115
5008,4.628573716s,114
5008,4.628652774s,114
5008,278.24645ms,68
5008,278.252514ms,68
5008,391.809928ms,114
5008,1.623838077s,115
5008,3.088583727s,115
5008,160.762527ms,68
5008,278.162739ms,68
5008,586.580337ms,115
5008,4.122795061s,117
5008,5.079580154s,115
5008,160.678774ms,68
5008,278.12911ms,68
5008,1.623809825s,115
5008,1.997747767s,113
5008,160.768517ms,68
5008,586.538972ms,115
5008,4.122785341s,117
5008,3.099516536s,116
5008,3.275522851s,115
5008,160.5569ms,68
5008,391.829842ms,114
5008,1.623828742s,115
5008,3.099506891s,116
5008,278.260613ms,68
5008,4.122766401s,117
5008,4.628609577s,114
5008,5.079559549s,115
5008,278.151104ms,68
5008,3.275559931s,115
5008,160.752089ms,68
5008,391.782021ms,114
5008,391.820275ms,114
5008,3.693592584s,115
5008,4.6286404s,114
5008,586.58977ms,115
5008,3.088530961s,115
5008,4.122804021s,117
5008,3.693571076s,115
5008,160.666175ms,68
5008,278.141968ms,68
5008,3.08856234s,115
5008,3.275549974s,115
5008,586.566128ms,115
5008,3.099490765s,116
5008,3.099524363s,116
