Port Number,Time Since Start,Bandwidth
5009,262.908529ms,114
5009,457.772407ms,115
5009,457.782084ms,115
5009,3.564733315s,115
5009,3.993492384s,117
5009,148.655103ms,68
5009,149.455317ms,68
5009,1.494509627s,115
5009,1.86846425s,113
5009,3.993450377s,117
5009,148.764248ms,68
5009,262.899066ms,114
5009,2.959846871s,115
5009,2.970597348s,116
5009,3.146686335s,115
5009,4.499813539s,114
5009,148.752384ms,68
5009,148.834583ms,68
5009,262.881004ms,114
5009,1.494499225s,115
5009,2.970586327s,116
5009,4.950707865s,115
5009,148.844835ms,68
5009,1.494466922s,115
5009,2.970570436s,116
5009,3.1466773s,115
5009,3.993482104s,117
5009,4.499786011s,114
5009,149.436986ms,68
5009,1.868453628s,113
5009,2.959829286s,115
5009,3.564723146s,115
5009,148.851375ms,68
5009,1.868428949s,113
5009,2.959857126s,115
5009,3.146657908s,115
5009,4.950698448s,115
5009,149.448517ms,68
5009,149.464019ms,68
5009,457.745716ms,115
5009,3.564705642s,115
5009,4.49980394s,114
5009,4.950679651s,115
