Port Number,Time Since Start,Bandwidth
5011,1.905579768s,115
5011,2.280630533s,115
5011,2.2806409s,115
5011,2.699721787s,112
5011,4.613633977s,115
5011,120.499134ms,68
5011,1.90553347s,115
5011,4.613672438s,115
5011,120.481894ms,68
5011,2.402560776s,114
5011,2.699693544s,112
5011,2.280602455s,115
5011,2.40253084s,114
5011,1.146581862s,115
5011,2.125574093s,115
5011,3.557594233s,115
5011,4.470559157s,115
5011,120.281383ms,68
5011,1.146571147s,115
5011,4.470524926s,115
5011,772.567647ms,115
5011,772.602758ms,115
5011,3.557550085s,115
5011,4.613662065s,115
5011,120.384174ms,68
5011,1.14654009s,115
5011,2.125533217s,115
5011,2.402571686s,114
5011,3.557583306s,115
5011,4.470548877s,115
5011,772.592837ms,115
5011,1.905565412s,115
5011,2.125563333s,115
5011,2.699711643s,112
5011,120.396786ms,68
5011,120.492985ms,68
