10_5000,0,-37800
10_5000,1,15
10_5000,21,6
10_5000,22,179
10_5000,41,1102
10_5000,42,1661
10_5000,9,1019
10_5000,17,620
10_5000,20,3285
10_5000,44,212
10_5000,65,30
10_5000,60,333
10_5000,12,249
10_5000,7,1153
10_5000,39,388
10_5000,52,312
10_5000,62,94
10_5000,11,905
10_5000,16,587
10_5000,23,630
10_5000,13,193
10_5000,5,109
10_5000,63,0
10_5000,8,102
10_5000,18,730
10_5000,28,516
10_5000,29,689
10_5000,33,434
10_5000,6,1500
10_5000,26,479
10_5000,37,18
10_5000,43,1011
10_5000,61,30
10_5000,67,307
10_5000,27,372
10_5000,36,530
10_5000,57,46
10_5000,25,227
10_5000,40,2610
10_5000,66,33
10_5000,10,173
10_5000,24,1242
10_5000,38,376
10_5000,47,83
10_5000,49,1001
10_5000,53,516
10_5000,64,239
10_5000,30,36
10_5000,35,760
10_5000,45,1771
10_5000,48,460
10_5000,68,60
10_5000,14,914
10_5000,31,1
10_5000,32,269
10_5000,4,344
10_5000,50,1826
10_5000,51,467
10_5000,56,712
10_5000,3,289
10_5000,34,189
10_5000,55,311
10_5000,59,691
10_5000,15,113
10_5000,19,146
10_5000,2,19
10_5000,46,429
10_5000,54,1498
10_5000,58,149
10_5001,21,52
10_5001,4,1169
10_5001,43,251
10_5001,49,1690
10_5001,28,41
10_5001,29,53
10_5001,32,216
10_5001,37,450
10_5001,14,530
10_5001,19,336
10_5001,23,481
10_5001,26,139
10_5001,7,440
10_5001,22,499
10_5001,35,550
10_5001,39,21
10_5001,46,596
10_5001,5,877
10_5001,38,298
10_5001,11,84
10_5001,12,1385
10_5001,2,597
10_5001,25,17
10_5001,42,140
10_5001,44,19
10_5001,1,826
10_5001,17,42
10_5001,24,372
10_5001,8,294
10_5001,9,1298
10_5001,41,372
10_5001,40,1021
10_5001,48,808
10_5001,18,145
10_5001,20,1043
10_5001,36,212
10_5001,6,223
10_5001,52,706
10_5001,34,983
10_5001,47,16
10_5001,51,305
10_5001,10,654
10_5001,13,1062
10_5001,16,1855
10_5001,30,86
