2_5000,0,-18059
2_5000,9,675
2_5000,18,13
2_5000,26,937
2_5000,31,2
2_5000,35,21
2_5000,4,157
2_5000,15,249
2_5000,16,84
2_5000,22,135
2_5000,8,594
2_5000,12,2438
2_5000,13,160
2_5000,21,63
2_5000,24,1708
2_5000,30,502
2_5000,32,2
2_5000,11,166
2_5000,2,522
2_5000,23,812
2_5000,6,1619
2_5000,7,305
2_5000,1,59
2_5000,14,212
2_5000,19,949
2_5000,27,965
2_5000,10,307
2_5000,17,1780
2_5000,3,486
2_5000,34,205
2_5000,20,573
2_5000,25,48
2_5000,28,182
2_5000,29,948
2_5000,33,35
2_5000,5,146
2_5001,28,182
2_5001,29,948
2_5001,35,21
2_5001,4,157
2_5001,21,63
2_5001,24,1708
2_5001,33,35
2_5001,19,949
2_5001,32,2
2_5001,34,205
2_5001,0,-18059
2_5001,18,13
2_5001,22,135
2_5001,3,486
2_5001,7,305
2_5001,15,249
2_5001,2,522
2_5001,25,48
2_5001,31,2
2_5001,5,146
2_5001,6,1619
2_5001,8,594
2_5001,14,212
2_5001,23,812
2_5001,30,502
2_5001,12,2438
2_5001,17,1780
2_5001,11,166
2_5001,13,160
2_5001,27,965
2_5001,1,59
2_5001,10,307
2_5001,26,937
2_5001,9,675
2_5001,16,84
2_5001,20,573
2_5002,21,63
2_5002,25,48
2_5002,13,160
2_5002,19,949
2_5002,4,157
2_5002,7,305
2_5002,9,675
2_5002,0,-18059
2_5002,18,13
2_5002,22,135
2_5002,15,249
2_5002,16,84
2_5002,24,1708
2_5002,26,937
2_5002,31,2
2_5002,32,2
2_5002,8,594
2_5002,12,2438
2_5002,17,1780
2_5002,27,965
2_5002,30,502
2_5002,10,307
2_5002,23,812
2_5002,14,212
2_5002,33,35
2_5002,2,522
2_5002,20,573
2_5002,28,182
2_5002,29,948
2_5002,5,146
2_5002,6,1619
2_5002,1,59
2_5002,11,166
2_5002,34,205
2_5002,3,486
2_5002,35,21
2_5003,11,622
2_5003,4,442
2_5003,31,2
2_5003,35,21
2_5003,32,2
2_5003,1,43
2_5003,28,77
2_5003,0,-18059
2_5003,15,5
2_5003,29,980
2_5003,18,175
2_5003,19,1439
2_5003,16,2513
2_5003,12,1
2_5003,13,144
2_5003,30,502
2_5003,20,389
2_5003,8,119
2_5003,26,969
2_5003,14,138
2_5003,27,619
2_5003,33,31
2_5003,7,305
2_5003,24,1153
2_5003,3,486
2_5003,21,63
2_5003,23,650
2_5003,22,120
2_5003,17,1764
2_5003,25,593
2_5003,5,561
2_5003,6,1636
2_5003,2,522
2_5003,10,307
2_5003,9,666
2_5004,1,59
2_5004,15,249
2_5004,18,13
2_5004,2,522
2_5004,33,35
2_5004,7,305
2_5004,12,2438
2_5004,14,212
2_5004,20,573
2_5004,5,146
2_5004,6,1619
2_5004,8,594
2_5004,3,486
2_5004,28,182
2_5004,4,157
2_5004,9,675
2_5004,13,160
2_5004,16,84
2_5004,21,63
2_5004,25,48
2_5004,32,2
2_5004,34,205
2_5004,0,-18059
2_5004,10,307
2_5004,11,166
2_5004,19,949
2_5004,23,812
2_5004,24,1708
2_5004,27,965
2_5004,29,948
2_5004,35,21
2_5004,17,1780
2_5004,22,135
2_5004,26,937
2_5004,30,502
2_5004,31,2
2_5005,13,160
2_5005,19,949
2_5005,25,48
2_5005,33,35
2_5005,35,21
2_5005,12,2438
2_5005,14,212
2_5005,18,13
2_5005,3,486
2_5005,30,502
2_5005,32,2
2_5005,9,675
2_5005,10,307
2_5005,22,135
2_5005,23,812
2_5005,24,1708
2_5005,29,948
2_5005,4,157
2_5005,16,84
2_5005,31,2
