2_5000,65013,0.002917
2_5000,65117,0.003826
2_5000,65026,0.005029
2_5000,65078,0.005338
2_5001,65078,0.005087
2_5001,65013,0.003590
2_5001,65117,0.003031
2_5001,65026,0.005656
2_5002,65052,0.003678
2_5002,65039,0.001274
2_5002,65104,0.002424
2_5002,65078,0.003157
2_5002,65013,0.005478
2_5002,65117,0.003642
2_5002,65026,0.006273
2_5002,65000,0.003045
2_5003,65117,0.003212
2_5003,65026,0.006066
2_5003,65000,0.002561
2_5003,65052,0.002328
2_5003,65104,0.002713
2_5003,65078,0.004292
2_5003,65013,0.005939
2_5004,65117,0.004190
2_5004,65026,0.006470
2_5004,65078,0.003453
2_5004,65013,0.004107
2_5005,65013,0.005715
2_5005,65117,0.004363
2_5005,65026,0.006664
2_5005,65000,0.003499
2_5005,65052,0.003434
2_5005,65039,0.001718
2_5005,65104,0.003402
2_5005,65078,0.004022
2_5006,65026,0.005874
2_5006,65000,0.003268
2_5006,65052,0.002938
2_5006,65039,0.002131
2_5006,65104,0.003175
2_5006,65078,0.007155
2_5006,65013,0.004269
2_5006,65117,0.002603
2_5007,65039,0.001921
2_5007,65104,0.003613
2_5007,65078,0.004798
2_5007,65013,0.006499
2_5007,65117,0.002352
2_5007,65026,0.004766
2_5007,65000,0.003899
2_5007,65052,0.002635
2_5008,65078,0.005588
2_5008,65013,0.004305
2_5008,65117,0.003444
2_5008,65026,0.004417
2_5009,65078,0.004536
2_5009,65013,0.006204
2_5009,65117,0.004009
2_5009,65026,0.005450
2_5009,65000,0.004135
2_5009,65052,0.003204
2_5009,65039,0.001499
2_5009,65104,0.002942
2_5010,65078,0.003758
2_5010,65013,0.003761
2_5010,65117,0.002859
2_5010,65026,0.005246
2_5011,65052,0.021867
2_5011,65078,0.011665
2_5011,65039,0.047946
_5000,65013,1.18122
_5000,65117,1.263089
_5000,65026,465.16Â
_5000,65104,848.472Â
_5000,65078,1.753521
_5000,65091,4.121032
_5000,65065,1.362864
_5000,65052,1.492833
_5000,65039,1.312195
_5000,65130,697.324Â
_5001,65104,2.488094
_5001,65039,1.925685
_5001,65065,2.012546
_5001,65052,1.297458
_5001,65117,1.161366
_5001,65026,402.007Â
_5001,65078,1.235621
_5001,65000,1.397674
_5001,65130,880.543Â
_5001,65091,2.378914
_5002,65091,1.776443
_5002,65052,1.56368
_5002,65078,1.308739
_5002,65039,2.245747
_5002,65130,419.278Â
_5002,65013,1.360157
_5002,65117,896.702Â
_5002,65065,1.970483
_5002,65104,2.014775
_5002,65000,994.07Â
_5003,65091,1.042087
_5003,65130,774.42Â
_5003,65078,978.088Â
_5003,65000,1.053575
_5003,65013,1.606119
_5003,65117,787.037Â
_5003,65026,869.255Â
_5003,65065,2.358157
_5003,65052,876.052Â
_5003,65104,2.128253
_5004,65039,2.020222
_5004,65091,4.848417
_5004,65117,1.046796
_5004,65026,521.387Â
_5004,65104,846.15Â
_5004,65078,1.85532
_5004,65000,1.200726
_5004,65130,737.239Â
_5004,65013,1.565639
_5004,65065,2.252718
_5005,65078,1.721344
_5005,65117,1.434207
_5005,65026,1.417204
_5005,65052,1.762887
_5005,65104,1.809448
_5005,65000,631.023Â
_5005,65039,1.837836
_5005,65130,661.913Â
_5005,65013,1.712978
_5005,65091,3.131683
_5006,65104,2.176051
_5006,65000,1.25651
_5006,65039,1.289346
_5006,65091,1.916637
_5006,65117,782.46Â
_5006,65026,951.185Â
_5006,65065,2.392963
_5006,65130,481.982Â
_5006,65013,1.300399
_5006,65052,884.058Â
_5007,65130,570.459Â
_5007,65013,1.573133
_5007,65117,733.073Â
_5007,65026,689.334Â
_5007,65065,1.484057
_5007,65000,841.383Â
_5007,65039,2.097426
_5007,65052,1.337898
_5007,65104,2.295347
_5007,65078,1.980143
_5008,65000,1.637492
_5008,65039,1.659879
_5008,65013,1.780712
_5008,65026,1.082215
_5008,65065,1.659411
_5008,65078,1.388233
_5008,65130,529.552Â
_5008,65091,1.707865
_5008,65117,1.363741
_5008,65052,1.068307
_5009,65065,2.227777
_5009,65052,1.115577
_5009,65000,783.214Â
_5009,65039,1.761827
_5009,65130,602.731Â
_5009,65026,814.899Â
_5009,65104,2.329452
_5009,65078,1.94327
_5009,65013,1.524567
_5009,65091,936.601Â
_5010,65065,1.863567
_5010,65104,1.676608
_5010,65078,1.345817
_5010,65000,1.598502
_5010,65039,1.600215
_5010,65091,3.437524
_5010,65026,1.109181
_5010,65013,1.785882
_5010,65117,1.334636
_5010,65052,1.670066
3_5000,65039,0.000918
3_5000,65104,0.002068
3_5000,65078,0.004914
3_5000,65013,0.001508
3_5000,65117,0.002038
3_5000,65026,0.006688
3_5000,65000,0.002816
3_5000,65052,0.001833
3_5001,65117,0.000880
