2_5000,11,472
2_5000,15,113
2_5000,2,255
2_5000,24,1078
2_5000,33,35
2_5000,34,66
2_5000,7,959
2_5000,0,-22970
2_5000,14,112
2_5000,19,89
2_5000,21,115
2_5000,26,62
2_5000,40,33
2_5000,1,2370
2_5000,16,102
2_5000,3,210
2_5000,38,206
2_5000,4,629
2_5000,12,1311
2_5000,31,212
2_5000,32,1139
2_5000,39,89
2_5000,5,1487
2_5000,8,578
2_5000,42,116
2_5000,13,38
2_5000,25,372
2_5000,27,1583
2_5000,30,488
2_5000,37,1691
2_5000,17,8
2_5000,20,2060
2_5000,23,878
2_5000,35,209
2_5000,9,817
2_5000,28,102
2_5000,29,607
2_5000,6,779
2_5000,41,874
2_5000,10,224
2_5000,18,43
2_5000,22,193
2_5000,36,166
2_5001,15,113
2_5001,32,1139
2_5001,36,166
2_5001,5,1487
2_5001,26,62
2_5001,29,607
2_5001,37,1691
2_5001,39,89
2_5001,40,33
2_5001,0,-22970
2_5001,12,1311
2_5001,21,115
2_5001,22,193
2_5001,4,629
2_5001,1,2370
2_5001,33,35
2_5001,9,817
2_5001,13,38
2_5001,20,2060
2_5001,28,102
2_5001,35,209
2_5001,7,959
2_5001,10,224
2_5001,14,112
2_5001,16,102
2_5001,27,1583
2_5001,38,206
2_5001,6,779
2_5001,41,874
2_5001,11,472
2_5001,17,8
2_5001,24,1078
2_5001,25,372
2_5001,30,488
2_5001,8,578
2_5001,42,116
2_5001,18,43
2_5001,19,89
2_5001,2,255
2_5001,23,878
2_5001,3,210
2_5001,31,212
2_5001,34,66
2_5002,46,406
2_5002,61,2
2_5002,11,935
2_5002,36,513
2_5002,37,772
2_5002,39,535
2_5002,5,20
2_5002,27,1243
2_5002,29,433
2_5002,40,2188
2_5002,43,10
2_5002,26,159
2_5002,31,10
2_5002,57,34
2_5002,3,162
2_5002,49,289
2_5002,55,137
2_5002,6,529
2_5002,59,859
2_5002,25,17
2_5002,33,54
2_5002,24,1525
2_5002,32,546
2_5002,52,53
2_5002,7,286
2_5002,10,359
2_5002,53,842
2_5002,9,514
2_5002,58,480
2_5002,62,146
2_5002,21,1596
2_5002,42,27
2_5002,8,475
2_5002,19,877
2_5002,20,424
2_5002,22,464
2_5002,28,283
2_5002,34,981
2_5002,35,1966
