Port Number,Time Since Start,Bandwidth
5001,835.551076ms,114
5001,1.265539887s,115
5001,1.881670015s,114
5001,3.42255272s,115
5001,3.642532269s,115
5001,3.969552972s,115
5001,439.563378ms,114
5001,1.21053276s,115
5001,1.551605596s,115
5001,1.826618311s,116
5001,3.092510882s,115
5001,4.243652484s,115
5001,1.045553934s,115
5001,1.595522334s,115
5001,2.531525209s,114
5001,4.572515554s,113
5001,4.682565838s,115
5001,604.534019ms,115
5001,1.771647622s,115
5001,1.881699117s,115
5001,2.586551125s,114
5001,3.312531559s,115
5001,3.80353293s,115
5001,4.079655609s,115
5001,219.675249ms,68
5001,1.496662225s,114
5001,2.146586208s,115
5001,2.421533822s,115
5001,2.872618941s,113
5001,3.147510318s,115
5001,384.514587ms,115
5001,505.660909ms,115
5001,1.826567712s,115
5001,2.872668021s,115
5001,3.037503557s,115
5001,3.752525301s,115
5001,4.408602573s,115
5001,4.737514022s,116
5001,439.522593ms,115
5001,318.550227ms,114
5001,1.881630835s,115
5001,2.982532157s,115
5001,3.587527577s,114
