Port Number,Time Since Start,Bandwidth
5003,4.374246385s,68
5003,4.374365502s,68
5003,4.375420021s,68
5003,4.374199033s,68
5003,4.374488965s,68
5003,4.374493757s,68
5003,4.374513065s,68
5003,4.374523166s,68
5003,4.375565717s,68
5003,4.375600488s,68
5003,4.384484811s,68
5003,4.374334306s,68
5003,4.384539954s,68
5003,4.384489591s,68
5003,4.374610025s,68
5003,4.374811857s,68
5003,4.374834789s,68
5003,4.384559338s,68
5003,4.374189081s,68
5003,4.374359734s,68
5003,4.374507264s,68
5003,4.374615852s,68
5003,4.374823478s,68
5003,4.375433065s,68
5003,4.375595199s,68
5003,4.375617955s,68
5003,4.374232121s,68
5003,4.374348082s,68
5003,4.374470954s,68
5003,4.374671147s,68
5003,4.374695446s,68
5003,4.374790489s,68
5003,4.374839669s,68
5003,4.375622215s,68
5003,4.366363671s,68
5003,4.366435491s,68
5003,4.374589193s,68
5003,4.374645602s,68
5003,4.375426648s,68
5003,4.375439248s,68
5003,4.384464018s,68
5003,4.384480129s,68
5003,4.366292153s,68
5003,4.374770578s,68
5003,4.375639546s,68
5003,4.384516463s,68
5003,4.374604275s,68
5003,4.374375623s,68
5003,4.374464206s,68
5003,4.374518608s,68
5003,4.375583977s,68
5003,4.375633635s,68
5003,4.384451268s,68
5003,4.384496647s,68
5003,4.366373697s,68
5003,4.384533158s,68
5003,4.374453737s,68
5003,4.374627235s,68
5003,4.374798025s,68
5003,4.384472145s,68
5003,4.374354166s,68
5003,4.375645032s,68
5003,4.374817448s,68
5003,4.374227565s,68
5003,4.374370683s,68
5003,4.374382186s,68
5003,4.374221052s,68
5003,4.374597545s,68
5003,4.375606099s,68
5003,4.384457596s,68
5003,4.384509815s,68
5003,4.374342036s,68
5003,4.366450968s,68
5003,4.374325784s,68
5003,4.374639786s,68
5003,4.375553993s,68
5003,4.384526706s,68
5003,4.384545609s,68
5003,4.366444957s,68
5003,4.37447683s,68
5003,4.374677107s,68
5003,4.375572367s,68
5003,4.38450289s,68
5003,4.374207s,68
5003,4.374662375s,68
5003,4.374828914s,68
5003,4.375578455s,68
5003,4.375589734s,68
5003,4.375612367s,68
5003,4.375627956s,68
5003,4.384521463s,68
5003,4.374214752s,68
5003,4.374252614s,68
5003,4.374388075s,68
5003,4.374482835s,68
5003,4.374501377s,68
5003,4.374621435s,68
5003,4.374805355s,68
5003,4.384440359s,68
5003,4.374238047s,68
5003,4.384563526s,68
5003,4.384552219s,68
