Port Number,Time Since Start,Bandwidth
5005,1m11.41698578s,116
5005,4.290385904s,68
5005,9.417454957s,78
5005,1m11.41697089s,116
5005,4.290391847s,68
5005,4.290521075s,68
5005,4.29071037s,68
5005,4.289742564s,68
5005,4.289830682s,68
5005,4.290195738s,68
5005,4.29075572s,68
5005,9.417446413s,78
5005,4.290216526s,68
5005,4.290221624s,68
5005,4.29073196s,68
5005,1m11.416983097s,116
5005,4.290457768s,68
5005,4.290744735s,68
5005,9.417443059s,78
5005,4.290499186s,68
5005,4.290721477s,68
5005,9.417451764s,78
5005,4.28968986s,68
5005,4.290504414s,68
5005,4.290785836s,68
5005,4.289709111s,68
5005,4.289993525s,68
5005,4.290738905s,68
5005,4.290320489s,68
5005,4.290366315s,68
5005,4.290465775s,68
5005,4.2897014s,68
5005,4.290033117s,68
5005,4.290189593s,68
5005,4.290807023s,68
5005,9.417453309s,78
5005,1m11.416978552s,116
5005,1m11.416979326s,116
5005,4.289748911s,68
5005,4.29017672s,68
5005,4.290181563s,68
5005,4.2904835s,68
5005,4.290536274s,68
5005,4.290790279s,68
5005,1m11.416975946s,116
5005,4.289676725s,68
5005,4.290309474s,68
5005,4.290472562s,68
5005,4.290777239s,68
5005,9.417448091s,78
5005,4.27943613s,68
5005,4.289819752s,68
5005,4.290020046s,68
5005,4.290170747s,68
5005,4.290349044s,68
5005,4.290726809s,68
5005,4.29080135s,68
5005,4.279584433s,68
5005,4.289695125s,68
5005,4.290159404s,68
5005,4.279521874s,68
5005,4.289842685s,68
5005,4.290509734s,68
5005,4.290027188s,68
5005,4.290338109s,68
5005,4.290343596s,68
5005,1m11.416986944s,116
5005,4.279511389s,68
5005,4.290038608s,68
5005,9.417457069s,78
5005,4.290515383s,68
5005,4.289999667s,68
5005,4.290360521s,68
5005,4.290381835s,68
5005,4.290201322s,68
5005,4.290487754s,68
5005,9.41745076s,78
5005,1m11.416983802s,116
5005,4.289715525s,68
5005,4.289884015s,68
5005,4.290165004s,68
5005,9.417455711s,78
5005,1m11.416974252s,116
5005,1m11.41697765s,116
5005,1m11.416984642s,116
5005,4.290054517s,68
5005,4.290331868s,68
5005,9.417452648s,78
5005,4.290542159s,68
5005,9.417438755s,78
5005,9.41745852s,78
5005,9.417441113s,78
5005,9.417449495s,78
5005,1m11.416975056s,116
5005,4.290049995s,68
5005,4.29074996s,68
5005,4.290762025s,68
5005,4.290371688s,68
5005,4.289836902s,68
5005,1m11.41697699s,116
5005,4.290531937s,68
5005,1m11.416979979s,116
5005,4.289848095s,68
5005,4.289852652s,68
5005,4.290044215s,68
5005,4.290375965s,68
5005,4.2906916s,68
5005,4.29070423s,68
5005,4.290715939s,68
5005,9.417445061s,78
5005,4.289736192s,68
5005,4.290136819s,68
5005,4.29014776s,68
5005,4.289728864s,68
5005,4.290326337s,68
5005,1m11.416980562s,116
5005,9.417457921s,78
5005,1m11.416982462s,116
5005,4.290210274s,68
5005,4.290795244s,68
5005,9.417454211s,78
5005,4.290015617s,68
5005,4.290478054s,68
5005,4.290493667s,68
5005,1m11.416986381s,116
5005,4.289859362s,68
5005,4.289865644s,68
5005,4.289982156s,68
5005,4.290152875s,68
5005,4.290526694s,68
5005,9.417433738s,78
5005,9.417459479s,78
5005,1m11.416973204s,116
5005,4.279593888s,68
5005,4.290005427s,68
5005,4.290011133s,68
5005,1m11.416981341s,116
5005,4.28987722s,68
5005,4.289892906s,68
5005,4.290354809s,68
5005,4.27959985s,68
5005,4.289721485s,68
5005,4.289871431s,68
