Port Number,Time Since Start,Bandwidth
5000,79.467445ms,70
5000,116.179985ms,70
5000,117.309123ms,70
5000,117.32318ms,70
5000,117.365181ms,70
5000,117.384548ms,70
5000,56.09736ms,70
5000,79.491347ms,70
5000,116.196652ms,70
5000,116.215886ms,70
5000,117.301893ms,70
5000,17.167524ms,70
5000,30.813056ms,70
5000,46.000189ms,70
5000,56.051652ms,70
5000,56.074791ms,70
5000,79.474126ms,70
5000,116.223725ms,70
5000,116.263338ms,70
5000,117.282151ms,70
5000,23.731695ms,70
5000,30.777616ms,70
5000,79.480867ms,70
5000,79.497982ms,70
5000,117.37199ms,70
5000,17.180224ms,70
5000,23.696194ms,70
5000,30.727688ms,70
5000,45.951357ms,70
5000,45.982533ms,70
5000,45.989604ms,70
5000,116.168693ms,70
5000,117.316655ms,70
5000,45.93991ms,70
5000,117.28783ms,70
5000,117.330803ms,70
5000,23.683588ms,70
5000,30.707018ms,70
5000,30.800436ms,70
5000,30.806805ms,70
5000,45.967775ms,70
5000,56.0823ms,70
5000,79.425943ms,70
5000,79.451411ms,70
5000,116.304083ms,70
5000,117.351588ms,70
5000,17.34518ms,70
5000,46.030114ms,70
5000,46.046405ms,70
5000,56.022737ms,70
5000,56.089206ms,70
5000,116.204443ms,70
5000,116.296998ms,70
5000,116.31254ms,70
5000,117.392463ms,70
5000,17.33833ms,70
5000,56.058969ms,70
5000,56.10526ms,70
5000,56.111458ms,70
5000,117.344757ms,70
5000,23.70995ms,70
5000,79.439914ms,70
5000,79.533869ms,70
5000,79.541105ms,70
5000,116.15276ms,70
5000,116.253256ms,70
5000,23.725141ms,70
5000,117.294699ms,70
5000,79.512254ms,70
5000,116.271856ms,70
5000,116.288424ms,70
5000,17.327766ms,70
5000,23.703203ms,70
5000,45.958463ms,70
5000,45.975061ms,70
5000,56.044063ms,70
5000,79.518653ms,70
5000,116.188381ms,70
5000,116.23632ms,70
5000,117.274471ms,70
5000,117.358548ms,70
5000,30.718469ms,70
5000,30.793061ms,70
5000,56.036498ms,70
5000,56.067583ms,70
5000,79.458598ms,70
5000,79.504441ms,70
5000,117.338339ms,70
