Port Number,Time Since Start,Bandwidth
5005,5.568162904s,70
5005,5.569863616s,70
5005,5.559806143s,70
5005,5.568199764s,70
5005,5.564715517s,70
5005,5.567263434s,70
5005,5.560792251s,70
5005,5.562886998s,70
5005,5.560207648s,70
5005,5.560223473s,70
5005,5.56081602s,70
5005,5.562880215s,70
5005,5.567216333s,70
5005,5.567241385s,70
5005,5.55979738s,70
5005,5.560160695s,70
5005,5.568156807s,70
5005,5.562872694s,70
5005,5.564569868s,70
5005,5.564655514s,70
5005,5.567248499s,70
5005,5.568193878s,70
5005,5.559443412s,70
5005,5.567256241s,70
5005,5.569846791s,70
5005,5.560799398s,70
5005,5.564736259s,70
5005,5.569805128s,70
5005,5.567223978s,70
5005,5.569820306s,70
5005,5.569826737s,70
5005,5.560781205s,70
5005,5.562852698s,70
5005,5.56308167s,70
5005,5.564513208s,70
5005,5.56457886s,70
5005,5.568181399s,70
5005,5.569813267s,70
5005,5.559455578s,70
5005,5.560806817s,70
5005,5.567234165s,70
5005,5.56816914s,70
5005,5.56286465s,70
5005,5.564724003s,70
5005,5.567203328s,70
5005,5.568175324s,70
5005,5.569797304s,70
5005,5.569874247s,70
5005,5.559812868s,70
5005,5.560171745s,70
5005,5.568148274s,70
5005,5.568187987s,70
5005,5.569787774s,70
5005,5.558287005s,70
5005,5.56983634s,70
